"x"
"Apteronotus bonapartii"
"Abramites hypselonotus"
"Acanthicus adonis"
"Acanthicus hystrix"
"Acanthobunocephalus nicoi"
"Acanthobunocephalus scruggsi"
"Acanthodoras cataphractus"
"Acanthodoras depressus"
"Acanthodoras polygramma"
"Acanthodoras spinosissimus"
"Acanthopoma annectens"
"Acarichthys heckelii"
"Acaronia nassa"
"Acaronia vultuosa"
"Acestridium dichromum"
"Acestridium discus"
"Acestridium gymnogaster"
"Acestridium martini"
"Acestridium scutatum"
"Acestridium triplax"
"Acestrocephalus acutus"
"Acestrocephalus anomalus"
"Acestrocephalus boehlkei"
"Acestrocephalus maculosus"
"Acestrocephalus nigrifasciatus"
"Acestrocephalus pallidus"
"Acestrocephalus sardina"
"Acestrocephalus stigmatus"
"Acestrorhynchus abbreviatus"
"Acestrorhynchus altus"
"Acestrorhynchus falcatus"
"Acestrorhynchus falcirostris"
"Acestrorhynchus grandoculis"
"Acestrorhynchus heterolepis"
"Acestrorhynchus isalineae"
"Acestrorhynchus maculipinna"
"Acestrorhynchus microlepis"
"Acestrorhynchus minimus"
"Acestrorhynchus nasutus"
"Acestrorhynchus pantaneiro"
"Achirus achirus"
"Acnodon normani"
"Acnodon oligacanthus"
"Acnodon senai"
"Acrobrycon ipanquianus"
"Acrobrycon starnesi"
"Adontosternarchus balaenops"
"Adontosternarchus clarkae"
"Adontosternarchus devenanzii"
"Adontosternarchus duartei"
"Adontosternarchus nebulosus"
"Adontosternarchus sachsi"
"Aequidens diadema"
"Aequidens epae"
"Aequidens gerciliae"
"Aequidens mauesanus"
"Aequidens metae"
"Aequidens michaeli"
"Aequidens pallidus"
"Aequidens patricki"
"Aequidens plagiozonatus"
"Aequidens rondoni"
"Aequidens superomaculatum"
"Aequidens tetramerus"
"Aequidens tubicen"
"Aequidens viridis"
"Agamyxis albomaculatus"
"Agamyxis pectinifrons"
"Ageneiosus akamai"
"Ageneiosus apiaka"
"Ageneiosus dentatus"
"Ageneiosus inermis"
"Ageneiosus intrusus"
"Ageneiosus lineatus"
"Ageneiosus militaris"
"Ageneiosus polystictus"
"Ageneiosus ucayalensis"
"Ageneiosus uranophthalmus"
"Ageneiosus vittatus"
"Agoniates anchovia"
"Agoniates halecinus"
"Aguarunichthys inpai"
"Aguarunichthys tocantinsensis"
"Aguarunichthys torosus"
"Amaralia hypsiura"
"Amazonspinther dalmata"
"Amazonsprattus scintilla"
"Amblydoras affinis"
"Amblydoras gonzalezi"
"Amblydoras monitor"
"Amblydoras nauticus"
"Ammocryptocharax elegans"
"Ammocryptocharax minutus"
"Ammoglanis amapaensis"
"Ammoglanis diaphanus"
"Ammoglanis obliquus"
"Anablepsoides amanan"
"Anablepsoides atratus"
"Anablepsoides beniensis"
"Anablepsoides bibosi"
"Anablepsoides cajariensis"
"Anablepsoides chapare"
"Anablepsoides christinae"
"Anablepsoides derhami"
"Anablepsoides elongatus"
"Anablepsoides erberi"
"Anablepsoides gamae"
"Anablepsoides henschelae"
"Anablepsoides hoetmeri"
"Anablepsoides holmiae"
"Anablepsoides intermittens"
"Anablepsoides iridescens"
"Anablepsoides jari"
"Anablepsoides jucundus"
"Anablepsoides limoncochae"
"Anablepsoides lineasoppilatae"
"Anablepsoides luitalimae"
"Anablepsoides micropus"
"Anablepsoides monticola"
"Anablepsoides ophiomimus"
"Anablepsoides origuelai"
"Anablepsoides ornatus"
"Anablepsoides ottonii"
"Anablepsoides parlettei"
"Anablepsoides peruanus"
"Anablepsoides roraima"
"Anablepsoides rubrolineatus"
"Anablepsoides speciosus"
"Anablepsoides taeniatus"
"Anablepsoides tocantinensis"
"Anablepsoides urophthalmus"
"Anablepsoides urubuiensis"
"Anablepsoides waimacui"
"Anablepsoides xinguensis"
"Anadoras grypus"
"Anadoras regani"
"Anadoras weddellii"
"Anchovia surinamensis"
"Anchoviella alleni"
"Anchoviella carrikeri"
"Anchoviella guianensis"
"Anchoviella hernanni"
"Anchoviella jamesi"
"Anchoviella juruasanga"
"Anchoviella lepidentostole"
"Ancistomus micrommatos"
"Ancistomus spilomma"
"Ancistomus spinosissimus"
"Ancistrus aguaboensis"
"Ancistrus bolivianus"
"Ancistrus bufonius"
"Ancistrus cryptophthalmus"
